userName,firstName,middleName,lastName,email,regID
aamir_khan,Aamir ,,Khan,Khan@gmail.com,101
aayush_kuril,Aayush ,,Kuril,Kuril@gmail.com,102
adarsh_rathore,Adarsh ,,Rathore,Rathore@gmail.com,103
aditya_sharma,Aditya ,aryan,Sharma,Sharma@gmail.com,104
aman_sharma,Aman ,,Sharma,Sharma@gmail.com,105
amey_oza,Amey ,,Oza,Oza@gmail.com,106
amit_palshikar,Amit ,,Palshikar,Palshikar@gmail.com,107
aniruddha_sharma,Aniruddha ,,Sharma,Sharma@gmail.com,108
anuj_joshi,Anuj ,,Joshi,Joshi@gmail.com,109
ashutosh_panchal,Ashutosh ,,Panchal,Panchal@gmail.com,110
atishay_sethi,Atishay ,,Sethi,Sethi@gmail.com,111
darshit_jain,Darshit ,,Jain,Jain@gmail.com,112
